Osmanlı Türkçesi sözler,Günümüz yazılışı,Çağdaş Türkçe karşılığı
آبدستخانه,abdesthane,ayakyolu
آگاه,agâh,"bilgili, uyanık, öngörülü"
آغوش,aguş,kucak
آهنگ,ahenk,uyum
آهسته,aheste,"yavaş, ağır"
آلایش,alayiş,gösteriş
آرزو,arzu,"istek, dilek"
عرض حال,arzuhâl**,dilekçe
آسایش,asayiş,güvenlik
آسوده,asude,"dingin, sessiz"
آسمان,asuman,gökyüzü
آشكار,aşikâr,"açık, besbelli, ortada"
آشنا,aşina,"tanış, biliş 2) bilen, anlayan"
آتش,ateş,od
آواره,avare,"işsiz, aylak"
آیين,ayin,kuttören
آزار,azar,paylama
آزاد,azat,erkin bırakma
بهانه,bahane,"sözde neden, nedensi"
بهار,bahar,ilkyaz
بخش ايتمک,bahş(etmek),"eriştirmek, vermek"
بخشش,bahşiş,sevinmelik
بخت,baht,yazgı
بختيار,bahtiyar,mutlu
بختسز,bahtsız,"karayazılı, karagünlü"
باخصوص,bahusus**,"özellikle, hele, üstelik"
بجایش,becayiş (etmek),karşılıklı yer değiştirmek
بداوا,bedava**,"karşılıksız, emeksiz"
بدبخت,bedbaht,mutsuz
بدبين,bedbin,kötümser
بددعا,beddua**,"ilenç, ilenme, kargış"
,behemehâl**,"kesinlikle, ne yapıp yapıp, her durumda"
بهر,beher,her bir
بنده,bende,"kul, köle"
برابر,beraber,"birge, birlikte"
,beraber(e kalmak),yenişememek
برباد,berbat,"kötü, çok kötü"
بردوام,berdevam**,sürüp giden
بردوش,berduş,başıboş
برمعتاد,bermutat**,"alışılageldiği gibi, alışıladığı gibi"
برطرف,bertaraf**,"kaldırılmış, giderilmiş"
بد,bet,"kötü, çirkin"
بدتر,beter,daha kötü
بيهوده,beyhude,"boşuna, boş yere, yararsızca"
بيچاره,biçare,umarsız
بيگانه,bigâne,1) ilgisiz 2) yabancı
بی خبر,bihaber**,1) salıksız 2) bilgisiz
بی پروا,biperva,"1) çekinmez, sakınmaz 2) korkusuz 3) çekinmeden, korkmadan"
برادر,birader,1) erkek kardeş 2) arkadaş
بيتاب,bitap,"bitkin, yorgun (argın)"
بی طرف,bitaraf**,"yansız, yan tutmayan"
بيزار,bizar,"bezmiş, bıkmış, tedirgin"
بوسه,buse,öpücük
جنگ,cenk,savaş
چابك,çabuk,ivedi *
چاره,çare,çözüm
چهره,çehre,yüz
چنبر,çember,yuvarlak
,çeşit,tür
چار يک çehar-yek,çeyrek,dörtte bir
درد,dert,ağrı
دگر,diğer,"öbür, öteki"
دشمن,düşman,yağı *
اجنبى,ecnebi,"el, yad *"
انديشه,endişe,kaygı
گزيده,güzide,seçkin
خسته,hasta,sayrı*
هنوز,henüz,daha
همان,hemen,çabucak
قورناز,kurnaz,açıkgözlü
مهتاب,mehtap,ay ışığı
پاپوش,pabuç,ayakkabı
روزگار,rüzgâr,yel
ساده,sade,yalın
سارخوش,sarhoş,esrik *
سار,ser,baş
سر,serbest,erkin *
سرسری,serseri,başıboş
سياه,siyah,kara
بهار,sonbahar,güz
تازه,taze,yeni
تنبل,tembel,haylaz
ویران,viran,yıkık
یاور,yaver,yardımcı
,yeknesak,tekdüze
یك پاره     yekpâre,yekpare,bütün
زهر,zehir,ağı *
زنگين,zengin,"bay, varsıl *, varlıklı"
زور,zor,çetin *
